_______________________________________________________________ Logs with initial setup ______________________________________________________________

2023-05-02 12:32:50 | CPU: 77.6% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310365 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012265984 | Disk Read Time: 6224 | Disk Write Time: 468235 | Disk Busy Time: 234624 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116181 | Network Connections: 1017
2023-05-02 12:32:51 | CPU: 77.3% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310365 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012265984 | Disk Read Time: 6224 | Disk Write Time: 468235 | Disk Busy Time: 234624 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116181 | Network Connections: 1018
2023-05-02 12:32:52 | CPU: 77.4% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310368 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012364288 | Disk Read Time: 6224 | Disk Write Time: 468237 | Disk Busy Time: 234632 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116191 | Network Connections: 1017
2023-05-02 12:32:53 | CPU: 77.1% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310368 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012364288 | Disk Read Time: 6224 | Disk Write Time: 468237 | Disk Busy Time: 234632 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116191 | Network Connections: 1015
2023-05-02 12:32:54 | CPU: 77.6% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310368 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012364288 | Disk Read Time: 6224 | Disk Write Time: 468237 | Disk Busy Time: 234632 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116191 | Network Connections: 1016
2023-05-02 12:32:55 | CPU: 77.6% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310368 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012364288 | Disk Read Time: 6224 | Disk Write Time: 468237 | Disk Busy Time: 234632 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116191 | Network Connections: 1016
2023-05-02 12:32:56 | CPU: 77.2% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310369 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012368384 | Disk Read Time: 6224 | Disk Write Time: 468238 | Disk Busy Time: 234636 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116191 | Network Connections: 1019
2023-05-02 12:32:57 | CPU: 77.5% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310378 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012487168 | Disk Read Time: 6224 | Disk Write Time: 468245 | Disk Busy Time: 234648 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116200 | Network Connections: 1016
2023-05-02 12:32:58 | CPU: 77.7% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310378 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012487168 | Disk Read Time: 6224 | Disk Write Time: 468245 | Disk Busy Time: 234648 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116200 | Network Connections: 1014
2023-05-02 12:32:59 | CPU: 77.6% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310378 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012487168 | Disk Read Time: 6224 | Disk Write Time: 468245 | Disk Busy Time: 234648 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116200 | Network Connections: 1016
2023-05-02 12:33:00 | CPU: 77.5% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310378 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012487168 | Disk Read Time: 6224 | Disk Write Time: 468245 | Disk Busy Time: 234648 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116200 | Network Connections: 1017
2023-05-02 12:33:01 | CPU: 77.5% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310379 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012495360 | Disk Read Time: 6224 | Disk Write Time: 468245 | Disk Busy Time: 234652 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116201 | Network Connections: 1014
2023-05-02 12:33:02 | CPU: 78.0% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310382 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012589568 | Disk Read Time: 6224 | Disk Write Time: 468248 | Disk Busy Time: 234660 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116211 | Network Connections: 764
2023-05-02 12:33:03 | CPU: 77.1% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310382 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012589568 | Disk Read Time: 6224 | Disk Write Time: 468248 | Disk Busy Time: 234660 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116211 | Network Connections: 524
2023-05-02 12:33:05 | CPU: 76.8% | RAM: 10.3% | Disk Read Count: 26149 | Disk Write Count: 310382 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012589568 | Disk Read Time: 6224 | Disk Write Time: 468248 | Disk Busy Time: 234660 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116211 | Network Connections: 337
2023-05-02 12:33:06 | CPU: 77.3% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310383 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012593664 | Disk Read Time: 6224 | Disk Write Time: 468249 | Disk Busy Time: 234664 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116211 | Network Connections: 108
2023-05-02 12:33:07 | CPU: 75.6% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310384 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012597760 | Disk Read Time: 6224 | Disk Write Time: 468249 | Disk Busy Time: 234668 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116211 | Network Connections: 11
2023-05-02 12:33:08 | CPU: 75.2% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310393 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012904960 | Disk Read Time: 6224 | Disk Write Time: 468259 | Disk Busy Time: 234680 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116220 | Network Connections: 11
2023-05-02 12:33:09 | CPU: 75.2% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310393 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012904960 | Disk Read Time: 6224 | Disk Write Time: 468259 | Disk Busy Time: 234680 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116220 | Network Connections: 11
2023-05-02 12:33:10 | CPU: 75.4% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310393 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012904960 | Disk Read Time: 6224 | Disk Write Time: 468259 | Disk Busy Time: 234680 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116220 | Network Connections: 12
2023-05-02 12:33:11 | CPU: 75.4% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310393 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012904960 | Disk Read Time: 6224 | Disk Write Time: 468259 | Disk Busy Time: 234680 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116220 | Network Connections: 9
2023-05-02 12:33:12 | CPU: 75.2% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310393 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012904960 | Disk Read Time: 6224 | Disk Write Time: 468259 | Disk Busy Time: 234680 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116220 | Network Connections: 9
2023-05-02 12:33:13 | CPU: 75.4% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310396 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012958208 | Disk Read Time: 6224 | Disk Write Time: 468261 | Disk Busy Time: 234688 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116230 | Network Connections: 9
2023-05-02 12:33:14 | CPU: 75.1% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310396 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012958208 | Disk Read Time: 6224 | Disk Write Time: 468261 | Disk Busy Time: 234688 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116230 | Network Connections: 9
2023-05-02 12:33:15 | CPU: 75.5% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310396 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012958208 | Disk Read Time: 6224 | Disk Write Time: 468261 | Disk Busy Time: 234688 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116230 | Network Connections: 8
2023-05-02 12:33:16 | CPU: 75.3% | RAM: 10.2% | Disk Read Count: 26149 | Disk Write Count: 310396 | Disk Read Bytes: 883033600 | Disk Write Bytes: 3012958208 | Disk Read Time: 6224 | Disk Write Time: 468261 | Disk Busy Time: 234688 | Disk Read Merged Count: 11960 | Disk Write Merged Count: 116230 | Network Connections: 8
