2023-04-30 12:02:46 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:47 | CPU: 1.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:48 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:49 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:50 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:51 | CPU: 1.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:52 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:53 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:54 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:55 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:56 | CPU: 2.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:57 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:58 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:02:59 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 35
2023-04-30 12:03:00 | CPU: 9.1% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 41
2023-04-30 12:03:01 | CPU: 1.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 41
2023-04-30 12:03:02 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 41
2023-04-30 12:03:03 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 41
2023-04-30 12:03:04 | CPU: 0.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 41
2023-04-30 12:03:05 | CPU: 33.3% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 180
2023-04-30 12:03:06 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 295
2023-04-30 12:03:07 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 295
2023-04-30 12:03:08 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:09 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:10 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:11 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:12 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:13 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:14 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:15 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:16 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:17 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:18 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:19 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:20 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:21 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:22 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 294
2023-04-30 12:03:23 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:24 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 294
2023-04-30 12:03:25 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 295
2023-04-30 12:03:26 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:27 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:28 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:29 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:30 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:31 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:32 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:33 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:34 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:35 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:36 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:37 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:38 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:39 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:40 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:41 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:42 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:43 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:44 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:45 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 294
2023-04-30 12:03:46 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 294
2023-04-30 12:03:47 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 294
2023-04-30 12:03:48 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 294
2023-04-30 12:03:49 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 294
2023-04-30 12:03:50 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:51 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 294
2023-04-30 12:03:52 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:53 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:54 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 293
2023-04-30 12:03:55 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:56 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:57 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 292
2023-04-30 12:03:58 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 100
2023-04-30 12:03:59 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 37
2023-04-30 12:04:00 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 36
2023-04-30 12:04:01 | CPU: 100.0% | RAM: 68.2% | Disk IO: 46407 | Network Connections: 36
2023-04-30 12:31:45 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:46 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:47 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:48 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:49 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:50 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:51 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:52 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:53 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:54 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:55 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:31:56 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:02 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:03 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:04 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:05 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:06 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:07 | CPU: 2.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:08 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:09 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:10 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:11 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:12 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:13 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:14 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:15 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:16 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:17 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:18 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:19 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:20 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:21 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:22 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:23 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:24 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:25 | CPU: 1.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:26 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
2023-04-30 12:33:27 | CPU: 0.0% | RAM: 67.7% | Disk IO: 46505 | Network Connections: 35
